ITALUS_HISTORICAL_CHARACTER_INTERACTION_MAP
Expanded Historical Character Interaction Map
Canonical Support File for the Italus Historical Saga

PURPOSE
This document provides a stronger, historically grounded interaction layer
for the Italus saga by matching real historical figures to valid event anchors,
books, guardians, regions, and plausible scene contexts.

USAGE RULES
1. Every row must align to a valid EVENT_ID in ITALUS_HISTORICAL_EVENT_BACKBONE.
2. The listed guardian must match the guardian assigned to the event year.
3. Historical figures must be alive in the listed year or date range.
4. Historical figures may be encountered directly, indirectly, by rumor, through envoys, documents, sermons, markets, ports, camps, courts, or returning witnesses.
5. Italus and guardians may observe or interact at the edges of history, but do not alter outcomes.

FORMAT
EVENT_ID | YEAR | BOOK | GUARDIAN | CHARACTER | ROLE | REGION | SCENE_CONTEXT
169 | 1992 | Book 11 | Final Guardian | Helmut Kohl | Chancellor | Europe | Integration creates easier crossings and denser documentation.
169 | 1992 | Book 11 | Final Guardian | Jacques Delors | European Commission president | Europe | Administrative Europe grows stronger than most villagers realize.
170 | 1990s | Book 11 | Final Guardian | Tim Berners-Lee | Inventor | Global / Europe | Maps, archives, and memory become digital.
171 | 1992 | Book 11 | Final Guardian | Antonio Di Pietro | Magistrate | Italy | Corruption scandals reveal one kind of rot while hiding others.
172 | 1997 | Book 11 | Final Guardian | Al Gore | Environmental advocate | Global | Climate policy begins to sound like structured alarm.
173 | 1999 | Book 11 | Final Guardian | Romano Prodi | Statesman | Italy / Europe | Monetary integration alters daily speech and counting.
174 | 2001 | Book 11 | Final Guardian | George W. Bush | US President | Global | Security culture expands and legitimizes new forms of watching.
175 | 2002 | Book 11 | Final Guardian | Mario Draghi | Economist / central banker | Europe | The euro turns abstraction into daily object.
176 | 2008 | Book 11 | Final Guardian | Angela Merkel | Chancellor | Europe | Financial crisis reaches forests through paperwork, ownership, and abandonment.
176 | 2008 | Book 11 | Final Guardian | Mario Monti | Economist / technocrat | Italy / Europe | Economic emergency changes state language and public trust.
177 | 2009 | Book 11 | Final Guardian | Silvio Berlusconi | Prime Minister | Italy | Earthquake response is filtered through spectacle, anger, and fatigue.
178 | 2015 | Book 11 | Final Guardian | Pope Francis | Pope | Global / Italy | Climate and moral language begin sharing a vocabulary.
178 | 2015 | Book 11 | Final Guardian | Christiana Figueres | Climate diplomat | Global | The Paris framework gives urgency a negotiated shape.
179 | 2016 | Book 11 | Final Guardian | Sergio Mattarella | President of Italy | Italy | Repeated earthquakes renew the sense that permanence is an error.
180 | 2020 | Book 11 | Final Guardian | Giuseppe Conte | Prime Minister | Italy | Pandemic restrictions make human stillness newly visible.
180 | 2020 | Book 11 | Final Guardian | Anthony Fauci | Physician-scientist | Global | Scientific guidance becomes part of everyday fear language.
178 | 2015 | Book 11 | Final Guardian | Greta Thunberg | Climate activist | Global | Youth climate urgency provides a modern moral chorus.

END OF FILE
